question_code,question_text,question_subquestion_text,scoring_codes,additional_comments_1,additional_comments_2,original_question_long_string,,
Q32_3,The following statements relate to your views on the use of scientific research data. ,I would be willing to place all of my data into a central data repository with no restrictions,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. I would be willing to place all of my data into a central data repository with no restrictions.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_4,The following statements relate to your views on the use of scientific research data. ,I would be more likely to make my data available if I could place conditions on access,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement.   I would be more likely to make my data available if I could place conditions on access.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure               Note:  inexplicable comment in the xls file:""Q32  5 = agree strongly""",,
Q32_5,The following statements relate to your views on the use of scientific research data. ,I am satisfied with my ability to integrate data from disparate sources to address research questions,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. I am satisfied with my ability to integrate data from disparate sources to address research questions. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_6,The following statements relate to your views on the use of scientific research data. ,I would be willing to share data across a broad group of researchers,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. I would be willing to share data across a broad group of researchers. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_7,The following statements relate to your views on the use of scientific research data. ,It is important that my data are cited when used by other researchers,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. It is important that my data are cited when used by other researchers. 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q32_8,The following statements relate to your views on the use of scientific research data. ,It is appropriate to create new datasets from shared data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q21),,"21) The following statements relate to sharing scientific data. Tell us how much you agree with each statement. It is appropriate to create new datasets from shared data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q33,"Before this survey, had you heard of the NSF-funded DataONE project?",NA,"1 = yes, 2 = no, 3 = don't recall",originally (QD1-1),,"D1-1) Before this survey, had you heard of the NSF-funded DataONE project?  1 = Yes, 2 = No, 3 = Don't recall",,
Q34,How much do you know about DataONE on the following scale from 0 (nothing) to 5 (a great deal)?,NA,"1 = 0 (nothing), 2 = 1 (very little), 3 = 2, 4 = 3 (some), 5 = 4, 6 = 5 (a great deal)",originally (QD1-2),,"D1-2) How much do you know about DataONE on the following scale from 0 (nothing) to 5 (a great deal)?  1 = 0 (nothing), 2 = 1 (very little), 3 = 2, 4 = 3 (some), 5 = 4, 6 = 5 (a great deal)",,
Q35_1,Which of the following DataONE components have you used?,Educational materials,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used?  Educational materials.,,
Q35_2,Which of the following DataONE components have you used?,Data search functions,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data search functions.,,
Q35_3,Which of the following DataONE components have you used?,General information on the web site,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used?  General information on the Web site.,,
Q35_4,Which of the following DataONE components have you used?,Data deposit,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data deposit.,,
Q35_5,Which of the following DataONE components have you used?,Data analysis tools,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data analysis tools.,,
Q35_6,Which of the following DataONE components have you used?,Data description tools,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data description tools.,,
Q35_7,Which of the following DataONE components have you used?,Data Management Plan Tool,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data Management Plan Tool.,,
Q35_8,Which of the following DataONE components have you used?,Data citation information,1 = yes,originally (QD1-3),,D1-3) Which of the following DataONE components have you used? Data citation information.,,
Q36,Is any of your data available through DataONE or through a member node? ,NA,"1 = yes, 2 = no, 3 = don't know",originally (QD1-4),,"D1-4) Is any of your data available through DataONE or through a member node? 1 = Yes, 2 = No, 3 = Don't know",,
Q37,Do you collaborate with a designated data manager to manage your research data?,NA,"1 = yes, 2 = no, 3 = I am the designated data manager",originally (Q23),,"23) Do you collaborate with a designated data manager to manage your research data? 1 = Yes, 2 = No, 3 = I am the designated data manager",,
Q38_1,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,creating data management plans,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  creating data management plans.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_2,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,collecting and organizing my research data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager.  The designated data manager and I have a clear understanding of our respective roles in…  collecting and organizing my research data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_3,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,controlling quality (assuring that data are accurate and without missing values or errors),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager.  The designated data manager and I have a clear understanding of our respective roles in…  controlling quality (assuring that data are accurate and without missing values or errors). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_4,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,generating metadata (descriptive information describing data characteristics and software used),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager.  The designated data manager and I have a clear understanding of our respective roles in…  generating metadata (descriptive information describing data characteristics and software used).  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_5,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,preserving my research data (depositing data in a data center or repository),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  preserving my research data (depositing data in a data center or repository). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_6,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,allowing discovery of my data (using a searchable interface to locate relevant data),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  allowing discovery of my data (using a searchable interface to locate relevant data). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_7,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,integrating data (transforming different datasets into a common representation),"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  integrating data (transforming different datasets into a common representation). 1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q38_8,The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  ,analyzing my data,"1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",originally (Q24),,"24) The following statements relate to your work with the designated data manager. The designated data manager and I have a clear understanding of our respective roles in…  analyzing my data.  1 = agree strongly, 2 = agree somewhat, 3 = neither agree nor disagree, 4 = disagree somewhat, 5 = disagree strongly, 6 = not sure",,
Q39,Do you ever help others with their data management?,NA,"1 = yes, 2 = no",originally (Q25),,"25) Do you ever help others with their data management?  1 = yes, 2 = no
",,
Q40_1,In what ways do you help others with their data management?,Planning: creating a data management plan to control how data are handled throughout the research project.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Planning: creating a data management plan to control how data are handled throughout the research project.    1 = yes,,
Q40_2,In what ways do you help others with their data management?,Quality control: making sure that data are accurate and there are no missing values or errors.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Quality control: making sure that data are accurate and there are no missing values or errors.    1 = yes,,
Q40_3,In what ways do you help others with their data management?,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data).",1 = yes,originally (Q26),,"26) In what ways do you help others with their data management? File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data).    1 = yes",,
Q40_4,In what ways do you help others with their data management?,Metadata generation: descriptive information describing data characteristics and software used.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Metadata generation: descriptive information describing data characteristics and software used.    1 = yes,,
Q40_5,In what ways do you help others with their data management?,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results.",1 = yes,originally (Q26),,"26) In what ways do you help others with their data management? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results.    1 = yes",,
Q40_6,In what ways do you help others with their data management?,"Protecting data: backing up data, creating multiple copies in multiple locations.",1 = yes,originally (Q26),,"26) In what ways do you help others with their data management? Protecting data: backing up data, creating multiple copies in multiple locations.    1 = yes",,
Q40_7,In what ways do you help others with their data management?,Data archiving & preservation: strategies for long-term accessibility of digital information.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Data archiving & preservation: strategies for long-term accessibility of digital information.    1 = yes,,
Q40_8,In what ways do you help others with their data management?,"Data re-use: using data that was collected for one purpose, for a new or different purpose.",1 = yes,originally (Q26),,"26) In what ways do you help others with their data management? Data re-use: using data that was collected for one purpose, for a new or different purpose.    1 = yes",,
Q40_9,In what ways do you help others with their data management?,Meta-analysis: statistical synthesis of results of separate studies.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Meta-analysis: statistical synthesis of results of separate studies.    1 = yes,,
Q40_10,In what ways do you help others with their data management?,Citing data: how to give attribution and credit for data.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Citing data: how to give attribution and credit for data.    1 = yes,,
Q40_11,In what ways do you help others with their data management?,Other.,1 = yes,originally (Q26),,26) In what ways do you help others with their data management? Other.    1 = yes,,
Q40_11_TEXT,In what ways do you help others with their data management?,Other Text,,originally (Q26),,26) In what ways do you help others with their data management? Other Text,,
Q41,Do you ever teach data management in courses or outside the classroom?,NA,"1 = yes, 2 = no",originally (Q1),,"1) Do you ever teach data management in courses or outside the classroom? 1 = yes, 2 = no",,
Q42,You have indicated that you teach data management. Where does this teaching occur?,NA,"1 = In courses, 2 = Outside the classroom, 3 = Both",originally (Q1A),,"1A) You have indicated that you teach data management. Where does this teaching occur?  1 = In courses, 2 = Outside the classroom, 3 = Both",,
Q43_1_1,Which of the following data management topics do you teach? ,Data life cycle: the stages through Which data passes from the inception of a research project to its conclusion -  in an undergraduate course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data life cycle: the stages through which data passes from the inception of a research project to its conclusion -  in an undergraduate course.,,
Q43_1_2,Which of the following data management topics do you teach? ,Data life cycle: the stages through Which data passes from the inception of a research project to its conclusion - iin a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data life cycle: the stages through which data passes from the inception of a research project to its conclusion - iin a graduate level course.,,
Q43_1_3,Which of the following data management topics do you teach? ,Data life cycle: the stages through Which data passes from the inception of a research project to its conclusion - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data life cycle: the stages through which data passes from the inception of a research project to its conclusion - in other types of courses.,,
Q43_1_4,Which of the following data management topics do you teach? ,Data life cycle: the stages through Which data passes from the inception of a research project to its conclusion - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data life cycle: the stages through which data passes from the inception of a research project to its conclusion - outside of courses.,,
Q43_1_5,Which of the following data management topics do you teach? ,Data life cycle: the stages through Which data passes from the inception of a research project to its conclusion - I don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data life cycle: the stages through which data passes from the inception of a research project to its conclusion - I don’t teach this topic.,,
Q43_2_1,Which of the following data management topics do you teach? ,Planning: Creating a data management plan to control how data are handled throughout the research project - in undergraduate level courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Planning: Creating a data management plan to control how data are handled throughout the research project - in undergraduate level courses.,,
Q43_2_2,Which of the following data management topics do you teach? ,Planning: Creating a data management plan to control how data are handled throughout the research project - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Planning: Creating a data management plan to control how data are handled throughout the research project - in a graduate level course.,,
Q43_2_3,Which of the following data management topics do you teach? ,Planning: Creating a data management plan to control how data are handled throughout the research project - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Planning: Creating a data management plan to control how data are handled throughout the research project - in other types of courses.,,
Q43_2_4,Which of the following data management topics do you teach? ,Planning: Creating a data management plan to control how data are handled throughout the research project - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Planning: Creating a data management plan to control how data are handled throughout the research project - outside of courses.,,
Q43_2_5,Which of the following data management topics do you teach? ,Planning: Creating a data management plan to control how data are handled throughout the I don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Planning: Creating a data management plan to control how data are handled throughout the I don’t teach this topic.,,
Q43_3_1,Which of the following data management topics do you teach? ,Quality control: making sure that data are accurate and there are no missing values or errors   - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Quality control: making sure that data are accurate and there are no missing values or errors   - in an undergraduate level course.,,
Q43_3_2,Which of the following data management topics do you teach? ,Quality control: making sure that data are accurate and there are no missing values or errors  - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Quality control: making sure that data are accurate and there are no missing values or errors  - in a graduate level course.,,
Q43_3_3,Which of the following data management topics do you teach? ,Quality control: making sure that data are accurate and there are no missing values or errors   - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Quality control: making sure that data are accurate and there are no missing values or errors   - in other types of courses.,,
Q43_3_4,Which of the following data management topics do you teach? ,Quality control: making sure that data are accurate and there are no missing values or errors  - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Quality control: making sure that data are accurate and there are no missing values or errors  - outside of courses.,,
Q43_3_5,Which of the following data management topics do you teach? ,Quality control: making sure that data are accurate and there are no missing values or errors  - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Quality control: making sure that data are accurate and there are no missing values or errors  - don’t teach this topic.,,
Q43_4_1,Which of the following data management topics do you teach? ,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in an undergraduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in an undergraduate level course.",,
Q43_4_2,Which of the following data management topics do you teach? ,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in a graduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in a graduate level course.",,
Q43_4_3,Which of the following data management topics do you teach? ,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in other types of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data)  - in other types of courses.",,
Q43_4_4,Which of the following data management topics do you teach? ,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data) - outside of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach?File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data) - outside of courses.",,
Q43_4_5,Which of the following data management topics do you teach? ,"File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data) - don’t teach this topic.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? File management: types of files, file naming (such as assigning descriptive file names that indicate spatial and/or temporal information about the data) - don’t teach this topic.",,
Q43_5_1,Which of the following data management topics do you teach? ,Metadata generation: descriptive information describing data characteristics and software used - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Metadata generation: descriptive information describing data characteristics and software used   - in an undergraduate level course.,,
Q43_5_2,Which of the following data management topics do you teach? ,Metadata generation: descriptive information describing data characteristics and software used - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Metadata generation: descriptive information describing data characteristics and software used   - in a graduate level course.,,
Q43_5_3,Which of the following data management topics do you teach? ,Metadata generation: descriptive information describing data characteristics and software used - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Metadata generation: descriptive information describing data characteristics and software used  - in other types of courses.,,
Q43_5_4,Which of the following data management topics do you teach? ,Metadata generation: descriptive information describing data characteristics and software used - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach?Metadata generation: descriptive information describing data characteristics and software used  - outside of courses.,,
Q43_5_5,Which of the following data management topics do you teach? ,Metadata generation: descriptive information describing data characteristics and software used - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Metadata generation: descriptive information describing data characteristics and software used  - don’t teach this topic.,,
Q43_6_1,Which of the following data management topics do you teach? ,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results - in an undergraduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results   - in an undergraduate level course.",,
Q43_6_2,Which of the following data management topics do you teach? ,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results - in a graduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results    - in a graduate level course.",,
Q43_6_3,Which of the following data management topics do you teach? ,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results - in other types of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results    - in other types of courses.",,
Q43_6_4,Which of the following data management topics do you teach? ,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results - outside of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results    - outside of courses.",,
Q43_6_5,Which of the following data management topics do you teach? ,"Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results- don’t teach this topic.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Workflows: detailed description, flow chart, or computer script of how raw data were transformed into final results   - don’t teach this topic.",,
Q43_7_1,Which of the following data management topics do you teach? ,"Protecting data: backing up data, creating multiple copies in multiple locations - in an undergraduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Protecting data: backing up data, creating multiple copies in multiple locations - in an undergraduate level course.",,
Q43_7_2,Which of the following data management topics do you teach? ,"Protecting data: backing up data, creating multiple copies in multiple locations - in a graduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Protecting data: backing up data, creating multiple copies in multiple locations  - in a graduate level course.",,
Q43_7_3,Which of the following data management topics do you teach? ,"Protecting data: backing up data, creating multiple copies in multiple locations - in other types of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Protecting data: backing up data, creating multiple copies in multiple locations - in other types of courses.",,
Q43_7_4,Which of the following data management topics do you teach? ,"Protecting data: backing up data, creating multiple copies in multiple locations - outside of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Protecting data: backing up data, creating multiple copies in multiple locations  - outside of courses.",,
Q43_7_5,Which of the following data management topics do you teach? ,"Protecting data: backing up data, creating multiple copies in multiple locations - don’t teach this topic.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Protecting data: backing up data, creating multiple copies in multiple locations - don’t teach this topic.",,
Q43_8_1,Which of the following data management topics do you teach? ,Data archiving & preservation: strategies for long-term accessibility of digital information - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data archiving & preservation: strategies for long-term accessibility of digital information- in an undergraduate level course.,,
Q43_8_2,Which of the following data management topics do you teach? ,Data archiving & preservation: strategies for long-term accessibility of digital information - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data archiving & preservation: strategies for long-term accessibility of digital information - in a graduate level course.,,
Q43_8_3,Which of the following data management topics do you teach? ,Data archiving & preservation: strategies for long-term accessibility of digital information - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data archiving & preservation: strategies for long-term accessibility of digital information - in other types of courses.,,
Q43_8_4,Which of the following data management topics do you teach? ,Data archiving & preservation: strategies for long-term accessibility of digital information - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data archiving & preservation: strategies for long-term accessibility of digital information - outside of courses.,,
Q43_8_5,Which of the following data management topics do you teach? ,Data archiving & preservation: strategies for long-term accessibility of digital information - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Data archiving & preservation: strategies for long-term accessibility of digital information - don’t teach this topic.,,
Q43_9_1,Which of the following data management topics do you teach? ,"Data re-use: using data that was collected for one purpose, for a new or different purpose - in an undergraduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Data re-use: using data that was collected for one purpose, for a new or different purpose - in an undergraduate level course.",,
Q43_9_2,Which of the following data management topics do you teach? ,"Data re-use: using data that was collected for one purpose, for a new or different purpose - in a graduate level course.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Data re-use: using data that was collected for one purpose, for a new or different purpose - in a graduate level course.",,
Q43_9_3,Which of the following data management topics do you teach? ,"Data re-use: using data that was collected for one purpose, for a new or different purpose - in other types of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach?Data re-use: using data that was collected for one purpose, for a new or different purpose - in other types of courses.",,
Q43_9_4,Which of the following data management topics do you teach? ,"Data re-use: using data that was collected for one purpose, for a new or different purpose - outside of courses.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Data re-use: using data that was collected for one purpose, for a new or different purpose - outside of courses.",,
Q43_9_5,Which of the following data management topics do you teach? ,"Data re-use: using data that was collected for one purpose, for a new or different purpose - don’t teach this topic.",1 = yes,originally (Q2),,"2) Which of the following data management topics do you teach? Data re-use: using data that was collected for one purpose, for a new or different purpose - don’t teach this topic.",,
Q43_10_1,Which of the following data management topics do you teach? ,Meta-analysis: statistical synthesis of results of separate studies - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Meta-analysis: statistical synthesis of results of separate studies - in an undergraduate level course.,,
Q43_10_2,Which of the following data management topics do you teach? ,Meta-analysis: statistical synthesis of results of separate studies - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Meta-analysis: statistical synthesis of results of separate studies - in a graduate level course.,,
Q43_10_3,Which of the following data management topics do you teach? ,Meta-analysis: statistical synthesis of results of separate studies - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Meta-analysis: statistical synthesis of results of separate studies - in other types of courses.,,
Q43_10_4,Which of the following data management topics do you teach? ,Meta-analysis: statistical synthesis of results of separate studies - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach?Meta-analysis: statistical synthesis of results of separate studies - outside of courses.,,
Q43_10_5,Which of the following data management topics do you teach? ,Meta-analysis: statistical synthesis of results of separate studies - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Meta-analysis: statistical synthesis of results of separate studies - don’t teach this topic.,,
Q43_11_1,Which of the following data management topics do you teach? ,Citing data: how to give attribution and credit for data - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Citing data: how to give attribution and credit for data - in an undergraduate level course.,,
Q43_11_2,Which of the following data management topics do you teach? ,Citing data: how to give attribution and credit for data - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Citing data: how to give attribution and credit for data - in a graduate level course.,,
Q43_11_3,Which of the following data management topics do you teach? ,Citing data: how to give attribution and credit for data - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Citing data: how to give attribution and credit for data - in other types of courses.,,
Q43_11_4,Which of the following data management topics do you teach? ,Citing data: how to give attribution and credit for data - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Citing data: how to give attribution and credit for data - outside of courses.,,
Q43_11_5,Which of the following data management topics do you teach? ,Citing data: how to give attribution and credit for data - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Citing data: how to give attribution and credit for data - don’t teach this topic.,,
Q43_12_1,Which of the following data management topics do you teach? ,Other data management topics - in an undergraduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics - in an undergraduate level course.,,
Q43_12_2,Which of the following data management topics do you teach? ,Other data management topics - in a graduate level course.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics- in a graduate level course.,,
Q43_12_3,Which of the following data management topics do you teach? ,Other data management topics - in other types of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics - in other types of courses.,,
Q43_12_4,Which of the following data management topics do you teach? ,Other data management topics - outside of courses.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics - outside of courses.,,
Q43_12_5,Which of the following data management topics do you teach? ,Other data management topics - don’t teach this topic.,1 = yes,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics - don’t teach this topic.,,
Q43_12_TEXT,Which of the following data management topics do you teach? ,Other data management topics - Text,,originally (Q2),,2) Which of the following data management topics do you teach? Other data management topics - Text,,
