counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
588,20,0,0,80, , , ,other,independent consul,Biology, ,No,Yes,No,Yes,No,Yes,No,No,No,No, , , ,some, , , , , ,No,No,No,No,No,No,No,No,No, ,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes, ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No, ,No,LTER site IM committee,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Maine,65,Female
589, , , ,60,30, ,service,academic, ,Ecology, ,No,No,No,No,No,Yes,No,No,No,No, ,none,none,none,none,none,none,none, ,Yes,No,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,disagree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,State/regional government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Professor, ,United States of America,Wyoming,49,Male
590,5,0,0,50,35,10,Journal editor,academic, ,Ecology, ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,some,none,some,some,some,none, , ,Yes,No,Yes,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,disagree strongly,agree strongly,agree strongly,agree somewhat,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No, ,No,GCE LTER standard data access procedures,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Professor, ,United States of America,Texas,48,Male
591, ,20, ,80, , , ,academic, ,Ecology, ,No,No,No,Yes,No,No,No,No,No,No, , , ,some, , , , , ,No,No,No,No,No,No,No,No,Yes, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,agree strongly,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat, ,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No, ,No, ,Academic institution,university,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,Colorado,29,Female
592,10,10, ,30,50, , ,academic, ,Biology, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,none,none,some,none,none,none, , ,Yes,Yes,No,Yes,Yes,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,Illinois,43,Female
593,50, , ,30,20, , ,academic, ,Other,marine science,Yes,No,No,Yes,No,Yes,No,No,No,No, , ,most,some, , , , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,agree somewhat,disagree strongly,agree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,Yes,No, ,Professor, ,United States of America,Virginia,70,Female
594,25,5, ,25,45, ,teaching includes graduate advising,academic, ,Environmental science, ,Yes,Yes,Yes,No,No,No,No,No,No,No, ,most,most,some,none,none,none, ,"I consider LTER as ""National"" not global",Yes,No,Yes,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,disagree somewhat,agree strongly,disagree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,disagree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Professor, ,United States of America,Pennsylvania,55,Male
595,80, , ,20, , , ,academic, ,Social sciences, ,No,No,No,No,No,No,No,No,Yes,No, ,none,none,none,none,none,none,none, ,No,No,No,No,No,No,No,No,No,Confidentiality rule,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree strongly,agree somewhat,agree strongly,agree strongly,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Self supported,Self-funded,Yes,No,No,No,No,No,No,No,No,No,Yes,none,Administrator, ,United States of America,New Mexico,52,Female
596,10,20,0,10,30,30,School - Coursework,academic, ,Other,Wildlife & Animal Sciences,No,Yes,No,No,Yes,Yes,No,No,Yes,No, ,none,none,none,none, ,none,none, ,No,No,Yes,No,Yes,No,No,No,Yes,Lack of forum,agree strongly,neither agree nor disagree, ,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,agree somewhat,disagree strongly,disagree strongly,agree somewhat,disagree somewhat,disagree strongly,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree strongly,agree strongly,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,Colorado,23,Female
597, , , , , ,100,Information management,academic, ,Information science, ,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,aerial photography,most,some,most,none,some,none,none, ,No,No,No,Yes,No,No,No,No,No, ,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,disagree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat, ,agree somewhat,agree strongly,agree somewhat,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No, ,No,leadership,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,Yes,No, ,Other,Professional,United States of America, , , 
598,2,2, ,46,50, , ,academic, ,Ecology, ,No,Yes,No,No,No,No,No,No,No,No, ,some,none,none,none,none,none, , ,Yes,Yes,Yes,Yes,No,No,Yes,No,No, ,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,Oregon,30,Female
599, , , ,75,25, , ,academic, ,Other,marine sciences,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,none,none,most, , ,some, , ,No,No,No,No,No,No,No,No,No, ,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat, ,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,No, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Assistant Professor, ,United States of America,Georgia,39,Male
600,10,10,0,50,30,0, ,academic, ,Atmospheric science, ,Yes,No,No,No,No,No,No,No,No,No, , ,some,some,most,some, , , ,No,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat, ,agree somewhat,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,Yes,No,"NASA, DOE",Professor, ,United States of America,Pennsylvania,53,Male
601,10,15,0,70,5, , ,academic, ,Environmental science, ,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Molecular Data,none,none,none,none,none,none,none, ,No,Yes,No,Yes,Yes,No,No,No,Yes, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree strongly,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,Colorado,30,Female
602,30,30, ,30,10, , ,academic, ,Biology, ,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Lab investigations,some,some,some,some, ,most, , ,Yes,No,No,Yes,No,No,No,No,No, ,agree strongly,agree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree strongly,agree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree strongly,disagree somewhat,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,Yes,PNWFP - Pacific NW Fungus Project,Professor, ,United States of America,Alaska,67,Male
603,50,20, ,30, , , ,academic, ,Ecology, ,No,No,No,No,No,No,No,No,Yes,No, ,none,none,none,none,none,none, , ,Yes,No,No,Yes,No,No,No,No,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree strongly,disagree somewhat,disagree somewhat,agree strongly,disagree somewhat,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Self supported,often out of pocket,Don't know,No,No,No,No,No,No,No,No,No,No, ,Administrator, ,United States of America, , , 
604,19,1, ,80, , , ,academic, ,Ecology, ,No,No,No,Yes,No,No,No,No,No,No, ,all, , , , , ,all,other - best by contacting me,No,No,No,No,No,No,No,No,No, ,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,neither agree nor disagree,agree strongly,agree strongly,disagree somewhat,disagree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No, ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No, ,Yes,No,No,No,No,No,No,No,Yes,No,Yes, ,No,automatically goes to data manager for storage and availability to others,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,Yes,contacting owner still best way!!!!!,Researcher, ,United States of America,Colorado,62,Male
605,0,15,0,85,0,0, ,academic, ,Ecology, ,No,Yes,Yes,Yes,No,Yes,No,No,No,No, ,none,none,none,none,none,none,none, ,Yes,Yes,No,No,Yes,No,Yes,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat, ,disagree somewhat,disagree somewhat, ,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes, ,Graduate student, ,United States of America,Minnesota,29,Female
606,10, , ,90, , , ,academic, ,Other,analytical chemistry,No,No,No,Yes,No,No,No,No,No,No, ,most,most,most,most,most, , , ,No,No,No,No,No,No,No,No,Yes,internal data checks,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,neither agree nor disagree,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No, ,No,This question does not apply as I am one of the data generators,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Arizona,54,Female
607, , , ,60,30, ,"National-level (e.g., professional society), school-level, and departmental-level service",academic, ,Engineering, ,No,No,No,Yes,No,No,No,No,No,No, ,none,none,none,none,none,none,all,Publications,No,No,No,No,No,No,Yes,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,New Mexico,41,Male
608,20, , ,60,20, , ,academic, ,Engineering, ,No,No,No,Yes,No,No,No,No,No,No, , , , , , , , , ,Yes,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree strongly,neither agree nor disagree,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Professor, ,United States of America,New Mexico, , 
609,10, , ,90, , , ,academic, ,Hydrology,Oceanography,No,No,Yes,No,No,Yes,Yes,No,No,No, ,some,some,some,some,some,some, , ,No,No,No,No,No,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree somewhat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,No,No,No,No,No, , , , , ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,California,51,Male
610,5,1, ,74,20, , ,academic, ,Ecology, ,Yes,Yes,No,Yes,No,Yes,No,No,No,No, ,most,none,some,none,none,some, , ,No,No,No,No,No,No,No,No,Yes,unpublished,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,disagree strongly,disagree strongly,agree somewhat,agree somewhat,agree strongly,disagree somewhat,disagree somewhat,disagree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,no sure,No,PI of LTER can override,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,Hawaii,34,Male
611,20,10,10,35,20,5,proposal development,academic, ,Social sciences, ,No,No,Yes,No,Yes,No,No,No,Yes,No, ,some,some,none,some,none,some, , ,Yes,No,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree somewhat,disagree somewhat, ,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,Florida,69,Male
612,10,5,5,75,10, , ,academic, ,Social sciences, ,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Archaeological Data,none,some,none,none,none,none,some, ,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,disagree somewhat,agree somewhat,agree somewhat,agree strongly,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Academic institution,School,No,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,Arizona,27,Female
613, , , ,90,10, , ,academic, ,Ecology, ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No, ,some,some,none,none,none,none,none, ,No,No,Yes,No,No,Yes,No,Yes,No, ,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,disagree strongly,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Don't know,Yes,No,No,No,No,No,No,No,No,No, ,Graduate student, ,United States of America,New Mexico,29,Male
